1,tidak ada,tada'
2,iya, iyot
3,canda,a gheje'
4,kerja,a lakoh
5,main,a maen
6,ayah,aba
7,awak,abek
8,telanjang,abengkang
9,lari,aberkak
10,lambat,abit
11,abu,abuh
12,berburu,aburu
13,asam,accem
14,asin,accen
15,adat,addet
16,adab,adeb
17,adil,adel
18,ada,adet
19,air,aeng
20,air,aeng
21,tertawa,agellek
22,agama,agema
23,ahli,ahlih
24,ayam,ajem
25,belajar,ajher
26,kakak,ajuh
27,akibat,akibet
28,adik,ale
29,alis,ales
30,halus,alos
31,punya   ,andhik
32,handuk,andok
33,aneh,ane
34,hangat,anga'
35,angin,angen
36,angin,angen
37,anggur,anggor
38,angkuh,angko
39,baru,anyar
40,angguk,aongguk
41,api,apoy
42,celurit,arek
43,arang,areng
44,harga,argena
45,haus,arjeng
46,bersin,assyem
47,antar,ater
48,ayo,ayoh
49,baling,baing
50,ayah,bapak
51,bayam,bayem
52,bawah,bebe
53,bawang,bebeng
54,babi,bebih
55,baca,becah
56,basah,becca
57,baik,beccek
58,baik,becik
59,badai,bedai
60,bejana,bedde
61,bedak,bede'
62,ada,bedeh
63,ada,bedeh
64,badan,beden
65,beban,beden
66,bagian,begian
67,buaya,bejeh
68,bayang,bejeng
69,bayar,bejer
70,bayi,bejik
71,bealang,beleng
72,belas,beles
73,balas,beles
74,balik,belik
75,banci,benduh
76,berani,bengal
77,bangsa,bengsah
78,kamu,ben'n
79,bukan,benne
80,banyak,bennyak
81,bantal,bental
82,bantah,bental
83,banting,benteng
84,barat,berek
85,berapa,berempa
86,bareng,bereng
87,benda,bereng
88,kemarin,berik
89,baris,beris
90,lari,berkak
91,berat,berrek
92,beras,berres
93,bersih,berse
94,warung,berung
95,biskuit,besket
96,bangkai,betang
97,untung,beteh
98,batas,betes
99,batuk,betoh
100,batuk,betok
101,benar,betol
102,bahu,beuh
103,bibi,bhebhek
104,bayi,bheji'
105,kapan,bhila
106,perempuan   ,bhinek
107,bebek,bibik
108,bedak,bideh
109,biji,bigih
110,kapan,bileh
111,bengkok,biluk
112,ceria,binar
113,benih,bine - nebine
114,betina,binek
115,bingung,bingong
116,bengkoang,bitok
117,bengkoang,bitol
118,belakang,blekang
119,belanja,blenjeh
120,benang,bolak
121,baral,borong
122,biawak,brekai
123,busuk,buccok
124,noda  ,buddhek
125,garam,buje
126,buka,bukkak
127,bukti,bukteh
128,bulan,bulen
129,kabur,buruh
130,ekor,buthok
131,botol,butol
132,cabe,cabbih
133,dongeng,caretah
134,dingin,cellep
135,lumpur,cello
136,asam,celok
137,cepat,ceppet
138,kepala,chetak
139,mulut  ,cholok
140,cukup,cokop
141,rumah ,compok
142,bagai,corak
143,utara,dejeh
144,awal,dek adek'h
145,bahgaimanapun,demma beih
146,darah,deree
147,datang,deteng
148,daging,dheging
149,daru,dheri
150,mana,dhimma
151,desa,dhisah
152,kertas,dlubeng
153,dunia,dunnyah
154,ijin,e dhih
155,disini,e dinnak
156,disana,e dissah
157,hilang,e lang
158,hingung,e long
159,ibu,ebuh
