274,ngekak,anyam
275,ngenom,minum
276,ngenom,Minum
277,ngerteh,paham
278,ngetter,getar
279,ngocak,bicara
280,noles,menulis
281,Norok,ikut
282,nyai,nenek
283,nyaman,enak
284,Nyeloh,Pegal   
285,Nyengge,Pergi   
286,Nyengghe, Minggat 
287,nylase,ziarah
288,o teg,otak   
289,obber,bakar
290,Obet,Obat   
291,Obuk,Rambut   
292,odeng,udang
293,ojhen,hujan
294,okom,seperti
295,olar,ular
296,olleh,boleh
297,ondem,awan
298,ongghe,Naik  
299,onggu,benar
300,Onlaon,Pelan Pelan   
301,Orak,Otot   
302,oreng,orang
303,otabeh,atau
304,otang,hutang
305,Padeh,Sama   
306,paju,laku
307,pandhek,Pendek   
308,patek,anjing
309,patong,patung
310,Penter,Pintar   
311,perreng,bambu
312,pesoan,caci maki
313,pesse,duit
314,Pethek,itik
315,poklot,Pensil   
316,porak,belah
317,posang,ambigu
318,potthon,hangus
319,prabhen,gadis
320,raddin,ayu
321,rajeh,besar
322,rama,ayah
323,rammeh,berisik
324,ramok,akar
325,Rebbhe,Rumput   
326,reken,abai
327,Rengngek,Nyamuk
328,Roghi,Rugi   
329,Rooma ,Rumah  
330,sakek,sakit   
331,sapah,Siapa   
332,sapo,selimut
333,saporah,ampun
334,satiyah,Sekarang   
335,sedeh,kamu
336,sellok,cincin
337,sembhajang,sembahyang
338,sengkok,aku
339,sengkok,Saya   
340,seppeh,Sepi   
341,skolaan,Sekolah   
342,Soargeh,Surga   
343,sopajeh,agar
344,sopajeh,Supaya   
345,soprai,seprei
346,soroi,sisir
347,tadhek,habis
348,tajin,bubur
349,tak ngatelak,buta
350,Tamoi,Tamu
351,tangngeh,bangun
352,tedung,tidur
353,tedung,Tidur    
354,Tellor,Telur    
355,Todus,Malu
356,tojuk,duduk
357,toles,tulis
358,Tormolok,Pesawat   
359,tretan,Saudara   
360,umdhu'um,bagi - bagi
361,wak,paman
362,wes,Sudah   
363,yai,kakek
364,yeken,yakin
